Type:Necessity(1) SubType:rent(3) Value:2100 Detail:house_rent_july21 Date:02_07_2021 LongTermItems:NA
Type:Necessity(1) SubType:bills(4) Value:35 Detail:pge_bill_july1 Date:31_07_2021 LongTermItems:NA
Type:Entertainment(2) SubType:food(1) Value:35 Detail:ihop_july3 Date:31_07_2021 LongTermItems:NA
Type:Necessity(1) SubType:grocery_meat(2) Value:38 Detail:meat Date:31_07_2021 LongTermItems:NA
Type:Necessity(1) SubType:grocery_veggies(1) Value:6 Detail:indian_store_veggies Date:31_07_2021 LongTermItems:NA
Type:Misc(5) SubType:others(5) Value:13 Detail:indian_store_soap_shampoo Date:31_07_2021 LongTermItems:NA
Type:Necessity(1) SubType:grocery_veggies(1) Value:14 Detail:walmart_veggies_july3 Date:31_07_2021 LongTermItems:NA
Type:Misc(5) SubType:others(5) Value:15 Detail:bird_feeder_nectar_july3 Date:31_07_2021 LongTermItems:NA
Type:Necessity(1) SubType:grocery_veggies(1) Value:52 Detail:costco_fruits_july3 Date:31_07_2021 LongTermItems:NA
Type:Misc(5) SubType:others(5) Value:44 Detail:costco_shopping_jul3 Date:31_07_2021 LongTermItems:bounty_softener_hat
Type:Payments(6) SubType:credit_card_payment(2) Value:29 Detail:citibank_pay_july5 Date:31_07_2021 LongTermItems:NA
Type:Necessity(1) SubType:grocery_veggies(1) Value:11 Detail:indian_store_veggies_july5 Date:31_07_2021 LongTermItems:NA
Type:Misc(5) SubType:others(5) Value:5 Detail:indian_store_soaps Date:31_07_2021 LongTermItems:NA
Type:Necessity(1) SubType:grocery_veggies(1) Value:12 Detail:indian_store_veggies_jul8 Date:31_07_2021 LongTermItems:NA
Type:Necessity(1) SubType:grocery_veggies(1) Value:12 Detail:walmart_veggies_jul10 Date:31_07_2021 LongTermItems:NA
Type:Misc(5) SubType:one_time(8) Value:29 Detail:amazon_portable_gas Date:31_07_2021 LongTermItems:NA
Type:Car(4) SubType:gas(3) Value:21 Detail:gas_jul11 Date:31_07_2021 LongTermItems:NA
Type:Entertainment(2) SubType:video_stream(4) Value:5 Detail:hbo_streaming_jul11 Date:31_07_2021 LongTermItems:NA
Type:Necessity(1) SubType:bills(4) Value:55 Detail:smud_bill_jul12 Date:31_07_2021 LongTermItems:NA
Type:Entertainment(2) SubType:video_stream(4) Value:7 Detail:amazon_prime_jul12 Date:31_07_2021 LongTermItems:NA
Type:Necessity(1) SubType:grocery_veggies(1) Value:83 Detail:indian_store_veggies_masala_flours Date:31_07_2021 LongTermItems:rice_oil
